subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at,source_file,data_quality_flags
73a370c0,7cc6bec0,Taylor Brown,taylor.brown@globex.io,enterprise,us-east,1492,2024-01-13,2024-06-29,churned,2024-08-11,,,2026-05-05T00:43:38.484880+00:00,source_a.csv,
98836053,79da6233,Jordan Brown,jordan.brown@globex.io,enterprise,us-east,1502,2024-01-17,2024-02-29,active,,,,2026-05-05T00:43:38.485291+00:00,source_a.csv,
2ffce68e,6eda560d,Taylor Davis,taylor.davis@cyberdyne.tech,enterprise,us-east,1495,2024-10-06,2025-06-05,active,,,,2026-05-05T00:43:38.485305+00:00,source_a.csv,
e8624e97,fff2c343,Morgan Brown,morgan.brown@initech.net,starter,apac,102,2024-06-23,2024-12-10,active,,,,2026-05-05T00:43:38.485315+00:00,source_a.csv,
0944c3ff,c9c5614d,Casey Smith,casey.smith@umbrella.co,starter,apac,100,2024-06-25,2025-05-28,active,,,,2026-05-05T00:43:38.485325+00:00,source_a.csv,
af9e35af,e4d95525,Riley Brown,riley.brown@acme.com,starter,us-west,106,2024-05-30,2025-05-14,active,,,,2026-05-05T00:43:38.485334+00:00,source_a.csv,
84328085,9ebb535c,Quinn Jones,quinn.jones@umbrella.co,growth,us-west,391,2024-04-29,2024-07-17,churned,2024-08-09,,,2026-05-05T00:43:38.485343+00:00,source_a.csv,
a8a50304,49e380c8,Jordan Williams,jordan.williams@cyberdyne.tech,growth,apac,400,2024-04-17,2024-09-28,churned,2024-10-08,,,2026-05-05T00:43:38.485353+00:00,source_a.csv,
c7edf3ec,0e8b1309,Riley Smith,riley.smith@globex.io,growth,apac,50,2024-10-12,2025-03-01,downgraded,,397,,2026-05-05T00:43:38.485362+00:00,source_a.csv,
29e7dd82,6f6c7cd1,Riley Brown,riley.brown@umbrella.co,growth,apac,391,2024-04-18,2025-03-02,active,,,,2026-05-05T00:43:38.485373+00:00,source_a.csv,
d0ff24f8,8868f38d,Casey Miller,casey.miller@cyberdyne.tech,starter,us-west,97,2024-03-12,2024-08-13,active,,,,2026-05-05T00:43:38.485382+00:00,source_a.csv,
0a24231e,ed508507,Alex Johnson,alex.johnson@globex.io,starter,apac,105,2024-09-09,2024-11-22,churned,2025-01-04,,,2026-05-05T00:43:38.485391+00:00,source_a.csv,
4afe3c4e,956dd53c,Dana Jones,dana.jones@cyberdyne.tech,enterprise,us-east,1391,2024-07-16,2025-02-24,downgraded,,1491,,2026-05-05T00:43:38.485402+00:00,source_a.csv,
13611e2f,5a430b22,Riley Johnson,riley.johnson@initech.net,enterprise,apac,1506,2024-05-16,2025-05-07,active,,,,2026-05-05T00:43:38.485411+00:00,source_a.csv,
65c844cd,4768f568,Jordan Jones,jordan.jones@cyberdyne.tech,starter,eu,97,2024-09-13,2025-01-10,churned,2025-01-19,,,2026-05-05T00:43:38.485420+00:00,source_a.csv,
e9b7a409,99b51c73,Riley Davis,riley.davis@acme.com,starter,eu,106,2024-09-28,2024-10-26,active,,,,2026-05-05T00:43:38.485428+00:00,source_a.csv,
924ade7e,54b90948,Jordan Johnson,jordan.johnson@umbrella.co,growth,us-west,196,2024-01-30,2024-06-29,downgraded,,396,,2026-05-05T00:43:38.485436+00:00,source_a.csv,
300b526b,3e80d012,Casey Miller,casey.miller@globex.io,enterprise,us-west,1504,2024-10-08,2025-01-28,expanded,,,2004,2026-05-05T00:43:38.485445+00:00,source_a.csv,
ba404637,9cfb9145,Riley Davis,riley.davis@cyberdyne.tech,enterprise,us-west,1498,2024-07-23,2025-07-18,active,,,,2026-05-05T00:43:38.485453+00:00,source_a.csv,
0d539aac,41b6f684,Taylor Brown,taylor.brown@acme.com,starter,us-east,91,2024-06-22,2024-07-30,active,,,,2026-05-05T00:43:38.485461+00:00,source_a.csv,
ebeefba3,07d7aeff,Jordan Brown,jordan.brown@initech.net,starter,us-west,91,2024-01-17,2024-08-01,churned,2024-08-14,,,2026-05-05T00:43:38.485470+00:00,source_a.csv,
e408a218,51f1f0c2,Taylor Davis,taylor.davis@umbrella.co,enterprise,us-east,1507,2024-10-22,2025-07-19,active,,,,2026-05-05T00:43:38.485480+00:00,source_a.csv,
1bb1d8e9,7aaba330,Quinn Davis,quinn.davis@acme.com,enterprise,us-east,1502,2024-06-30,2025-03-01,churned,2025-04-11,,,2026-05-05T00:43:38.485489+00:00,source_a.csv,
dc8be50b,bb4f4803,Taylor Brown,taylor.brown@globex.io,starter,us-west,101,2024-06-22,2024-09-13,active,,,,2026-05-05T00:43:38.485497+00:00,source_a.csv,
88b125f6,51bef4d6,Taylor Johnson,taylor.johnson@umbrella.co,growth,us-east,294,2024-05-22,2025-02-10,downgraded,,394,,2026-05-05T00:43:38.485505+00:00,source_a.csv,
add27b05,41b52e48,Taylor Williams,taylor.williams@umbrella.co,enterprise,us-west,1506,2024-01-08,2024-03-23,active,,,,2026-05-05T00:43:38.485513+00:00,source_a.csv,
d3ecf78c,533dfb3a,Alex Miller,alex.miller@initech.net,growth,eu,390,2024-03-25,2024-11-02,expanded,,,690,2026-05-05T00:43:38.485522+00:00,source_a.csv,
a07676b1,cf9837f7,Taylor Jones,taylor.jones@globex.io,growth,us-east,406,2024-09-06,2024-12-22,expanded,,,906,2026-05-05T00:43:38.485530+00:00,source_a.csv,
790a1729,a032351b,Dana Williams,dana.williams@acme.com,enterprise,us-west,1499,2024-01-30,2024-03-23,expanded,,,1599,2026-05-05T00:43:38.485538+00:00,source_a.csv,
0d592dd2,81ca62ed,Quinn Johnson,quinn.johnson@cyberdyne.tech,starter,us-east,108,2024-02-04,2024-07-01,active,,,,2026-05-05T00:43:38.485546+00:00,source_a.csv,
3fd6d182,a771c3f1,Riley Jones,riley.jones@globex.io,enterprise,us-west,1491,2024-08-02,2025-08-01,churned,2025-08-21,,,2026-05-05T00:43:38.485555+00:00,source_a.csv,
7513fa1c,3aebf8fc,Casey Davis,casey.davis@initech.net,growth,us-east,401,2024-03-08,2025-03-01,expanded,,,501,2026-05-05T00:43:38.485563+00:00,source_a.csv,
f0a13a04,b7f9093f,Jordan Brown,jordan.brown@cyberdyne.tech,growth,eu,408,2024-10-15,2025-01-02,active,,,,2026-05-05T00:43:38.485571+00:00,source_a.csv,
dd40701e,393cd3bd,Morgan Davis,morgan.davis@cyberdyne.tech,starter,us-east,96,2024-07-08,2024-12-28,churned,2025-02-05,,,2026-05-05T00:43:38.485579+00:00,source_a.csv,
412e1bac,8181b07c,Morgan Jones,morgan.jones@acme.com,enterprise,eu,1306,2024-06-02,2024-08-22,downgraded,,1506,,2026-05-05T00:43:38.485587+00:00,source_a.csv,
954b56f2,49350947,Taylor Jones,taylor.jones@cyberdyne.tech,growth,us-east,408,2024-04-17,2024-11-06,active,,,,2026-05-05T00:43:38.485595+00:00,source_a.csv,
2efff8a5,ab5fe906,Alex Smith,alex.smith@initech.net,starter,eu,109,2024-08-04,2025-01-20,churned,2025-03-01,,,2026-05-05T00:43:38.485603+00:00,source_a.csv,
058d648c,b9029c6a,Alex Johnson,alex.johnson@acme.com,starter,us-west,103,2024-10-09,2025-06-12,expanded,,,603,2026-05-05T00:43:38.485612+00:00,source_a.csv,
44e2fcc6,cd3c7731,Morgan Miller,morgan.miller@globex.io,enterprise,eu,1490,2024-07-08,2025-05-30,active,,,,2026-05-05T00:43:38.485619+00:00,source_a.csv,
2ccf4790,429604f7,Jordan Garcia,jordan.garcia@cyberdyne.tech,starter,us-west,50,2024-04-17,2024-09-19,downgraded,,100,,2026-05-05T00:43:38.485628+00:00,source_a.csv,
64e8ab86,8a93333e,Alex Williams,alex.williams@initech.net,starter,us-west,94,2024-03-31,2024-11-25,churned,2024-12-21,,,2026-05-05T00:43:38.485637+00:00,source_a.csv,
b834f859,bd62b0e8,Alex Davis,alex.davis@globex.io,growth,apac,394,2024-02-25,2024-10-05,active,,,,2026-05-05T00:43:38.485645+00:00,source_a.csv,
7b854434,f791cd71,Alex Brown,alex.brown@umbrella.co,growth,us-east,398,2024-04-26,2024-09-15,active,,,,2026-05-05T00:43:38.485653+00:00,source_a.csv,
64dbed6d,3a16b2bd,Riley Smith,riley.smith@acme.com,growth,us-west,50,2024-09-17,2025-05-07,downgraded,,400,,2026-05-05T00:43:38.485661+00:00,source_a.csv,
f2014b0d,f8fdf031,Quinn Garcia,quinn.garcia@initech.net,enterprise,us-east,1497,2024-01-20,2024-04-12,active,,,,2026-05-05T00:43:38.485669+00:00,source_a.csv,
e026286d,5fc683ee,Alex Miller,alex.miller@acme.com,growth,us-west,407,2024-04-07,2024-09-12,active,,,,2026-05-05T00:43:38.485677+00:00,source_a.csv,
a0371e6f,5ca87dc0,Riley Johnson,riley.johnson@initech.net,growth,apac,402,2024-02-05,2024-08-20,active,,,,2026-05-05T00:43:38.485685+00:00,source_a.csv,
82cb190f,c41ab00f,Morgan Brown,morgan.brown@umbrella.co,growth,us-west,401,2024-05-31,2025-04-07,churned,2025-05-01,,,2026-05-05T00:43:38.485693+00:00,source_a.csv,
afc5b2d0,a062935c,Alex Jones,alex.jones@initech.net,enterprise,eu,1507,2024-06-03,2025-01-24,active,,,,2026-05-05T00:43:38.485701+00:00,source_a.csv,
b7f10af6,f90a88cf,Dana Williams,dana.williams@acme.com,growth,eu,403,2024-08-14,2024-12-29,active,,,,2026-05-05T00:43:38.485709+00:00,source_a.csv,
5e0ac20e,ef66ba02,Taylor Williams,taylor.williams@acme.com,starter,apac,96,2024-06-07,2024-10-28,active,,,,2026-05-05T00:43:38.485718+00:00,source_c.csv,
811451b8,99be9466,Taylor Miller,taylor.miller@umbrella.co,enterprise,us-west,1491,2024-08-21,2025-04-18,active,,,,2026-05-05T00:43:38.485726+00:00,source_c.csv,
3f585638,93bbad81,Taylor Williams,taylor.williams@cyberdyne.tech,enterprise,us-west,1489,2024-02-24,2024-10-26,active,,,,2026-05-05T00:43:38.485735+00:00,source_c.csv,
27ab2f94,38be4d01,Riley Davis,riley.davis@cyberdyne.tech,starter,apac,50,2024-03-09,2024-11-29,downgraded,,103,,2026-05-05T00:43:38.485743+00:00,source_c.csv,
988f7f3f,52a8d176,Taylor Jones,taylor.jones@cyberdyne.tech,starter,us-west,104,2024-08-18,2025-01-25,active,,,,2026-05-05T00:43:38.485751+00:00,source_c.csv,
