subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at
73a370c0,7cc6bec0,Taylor Brown,taylor.brown@globex.io,enterprise,us-east,1492,2024-01-13,2024-06-29,churned,2024-08-11,,,2026-05-04T20:43:38.484880
98836053,79da6233,Jordan Brown,jordan.brown@globex.io,enterprise,us-east,1502,2024-01-17,2024-02-29,active,,,,2026-05-04T20:43:38.485291
2ffce68e,6eda560d,Taylor Davis,taylor.davis@cyberdyne.tech,enterprise,us-east,1495,2024-10-06,2025-06-05,active,,,,2026-05-04T20:43:38.485305
e8624e97,fff2c343,Morgan Brown,morgan.brown@initech.net,starter,apac,102,2024-06-23,2024-12-10,active,,,,2026-05-04T20:43:38.485315
0944c3ff,c9c5614d,Casey Smith,casey.smith@umbrella.co,starter,apac,100,2024-06-25,2025-05-28,active,,,,2026-05-04T20:43:38.485325
af9e35af,e4d95525,Riley Brown,riley.brown@acme.com,starter,us-west,106,2024-05-30,2025-05-14,active,,,,2026-05-04T20:43:38.485334
84328085,9ebb535c,Quinn Jones,quinn.jones@umbrella.co,growth,us-west,391,2024-04-29,2024-07-17,churned,2024-08-09,,,2026-05-04T20:43:38.485343
a8a50304,49e380c8,Jordan Williams,jordan.williams@cyberdyne.tech,growth,apac,400,2024-04-17,2024-09-28,churned,2024-10-08,,,2026-05-04T20:43:38.485353
c7edf3ec,0e8b1309,Riley Smith,riley.smith@globex.io,growth,apac,50,2024-10-12,2025-03-01,downgraded,,397,,2026-05-04T20:43:38.485362
29e7dd82,6f6c7cd1,Riley Brown,riley.brown@umbrella.co,growth,apac,391,2024-04-18,2025-03-02,active,,,,2026-05-04T20:43:38.485373
d0ff24f8,8868f38d,Casey Miller,casey.miller@cyberdyne.tech,starter,us-west,97,2024-03-12,2024-08-13,active,,,,2026-05-04T20:43:38.485382
0a24231e,ed508507,Alex Johnson,alex.johnson@globex.io,starter,apac,105,2024-09-09,2024-11-22,churned,2025-01-04,,,2026-05-04T20:43:38.485391
4afe3c4e,956dd53c,Dana Jones,dana.jones@cyberdyne.tech,enterprise,us-east,1391,2024-07-16,2025-02-24,downgraded,,1491,,2026-05-04T20:43:38.485402
13611e2f,5a430b22,Riley Johnson,riley.johnson@initech.net,enterprise,apac,1506,2024-05-16,2025-05-07,active,,,,2026-05-04T20:43:38.485411
