subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at
51b1840a,cc8a0558,Dana Jones,dana.jones@umbrella.co,enterprise,us-east,1496,2024-02-02,2025-01-20,active,,,,2026-05-05T00:43:38.486280+00:00
0f68333a,e11e05d2,Dana Smith,dana.smith@initech.net,enterprise,us-west,1494,2024-03-10,2024-05-09,active,,,,2026-05-05T00:43:38.486762+00:00
0a85de8e,dc1c45f6,Casey Williams,casey.williams@acme.com,growth,us-west,393,2024-03-07,2025-01-05,churned,2025-01-06,,,2026-05-05T00:43:38.486338+00:00
f764dd31,96bf75ad,Jordan Williams,jordan.williams@acme.com,starter,apac,96,2024-03-29,2025-02-02,active,,,,2026-05-05T00:43:38.485991+00:00
b69131fa,f5ab9843,Taylor Williams,taylor.williams@initech.net,growth,apac,404,2024-03-03,2024-04-14,churned,2024-05-19,,,2026-05-05T00:43:38.486083+00:00
60a90fa1,e3ee714d,Morgan Davis,morgan.davis@umbrella.co,enterprise,eu,1503,2024-07-16,2025-02-02,active,,,,2026-05-05T00:43:38.486786+00:00
9eb0632e,c093a3bc,Dana Williams,dana.williams@umbrella.co,growth,us-west,391,2024-03-23,2024-09-06,active,,,,2026-05-05T00:43:38.486681+00:00
6f0f5d69,d915ab24,Casey Davis,casey.davis@acme.com,growth,us-west,390,2024-04-28,2024-10-20,churned,2024-11-05,,,2026-05-05T00:43:38.486000+00:00
daedd3ab,e0c679d4,Casey Smith,casey.smith@globex.io,growth,eu,406,2024-10-12,2024-11-22,active,,,,2026-05-05T00:43:38.486436+00:00
ee004169,12b848d5,Alex Miller,alex.miller@initech.net,starter,apac,108,2024-03-25,2024-12-02,churned,2024-12-17,,,2026-05-05T00:43:38.486649+00:00
cc08087e,94ce6365,Taylor Williams,taylor.williams@cyberdyne.tech,starter,us-east,92,2024-03-15,2024-08-21,active,,,,2026-05-05T00:43:38.486544+00:00
14661ca1,2d4ac272,Quinn Brown,quinn.brown@umbrella.co,starter,us-west,50,2024-02-10,2025-01-15,downgraded,,94,,2026-05-05T00:43:38.486186+00:00
f22af91e,e76e2ddf,Jordan Garcia,jordan.garcia@globex.io,growth,us-east,397,2024-01-09,2024-08-06,churned,2024-09-15,,,2026-05-05T00:43:38.486746+00:00
952eed99,765f3180,Jordan Smith,jordan.smith@globex.io,starter,eu,91,2024-07-24,2025-04-29,active,,,,2026-05-05T00:43:38.485965+00:00
3db48d2d,376b9d30,Riley Williams,riley.williams@cyberdyne.tech,enterprise,us-west,1506,2024-09-26,2024-11-12,active,,,,2026-05-05T00:43:38.486640+00:00
10a93144,5d7d1aea,Quinn Johnson,quinn.johnson@initech.net,starter,eu,50,2024-05-15,2024-12-02,downgraded,,104,,2026-05-05T00:43:38.486153+00:00
6a1d2096,e408c000,Dana Garcia,dana.garcia@initech.net,starter,us-east,109,2024-09-09,2025-06-01,active,,,,2026-05-05T00:43:38.486552+00:00
216202f1,94f675af,Jordan Williams,jordan.williams@umbrella.co,starter,eu,96,2024-02-28,2024-11-18,expanded,,,396,2026-05-05T00:43:38.486095+00:00
ae1bee95,7d4e788d,Alex Garcia,alex.garcia@initech.net,enterprise,us-west,1502,2024-09-17,2025-04-18,active,,,,2026-05-05T00:43:38.486625+00:00
5c349f2f,5f83b9fc,Morgan Johnson,morgan.johnson@acme.com,enterprise,apac,1495,2024-05-08,2025-05-08,active,,,,2026-05-05T00:43:38.486229+00:00
9f3ade5a,6a1c7403,Dana Williams,dana.williams@umbrella.co,growth,us-west,404,2024-08-29,2025-01-28,active,,,,2026-05-05T00:43:38.486103+00:00
3cb79b80,ee9361b4,Quinn Jones,quinn.jones@umbrella.co,growth,apac,200,2024-10-27,2025-04-26,downgraded,,400,,2026-05-05T00:43:38.486204+00:00
e66d598d,ebe84d8f,Riley Garcia,riley.garcia@cyberdyne.tech,starter,apac,103,2024-10-02,2025-07-04,churned,2025-07-28,,,2026-05-05T00:43:38.486121+00:00
950a48da,31bc7611,Jordan Williams,jordan.williams@globex.io,enterprise,eu,399,2024-02-28,2024-11-21,downgraded,,1499,,2026-05-05T00:43:38.486254+00:00
fc3103fc,040c84a6,Riley Johnson,riley.johnson@umbrella.co,starter,apac,106,2024-01-31,2024-12-24,active,,,,2026-05-05T00:43:38.486412+00:00
51b1840a,cc8a0558,Dana Jones,dana.jones@umbrella.co,enterprise,us-east,1496,2024-02-02,2025-01-20,active,,,,2026-05-05T00:43:38.486280+00:00
3797972d,074af9ee,Alex Jones,alex.jones@umbrella.co,growth,us-east,405,2024-04-23,2025-03-31,churned,2025-04-01,,,2026-05-05T00:43:38.486362+00:00
e95881d6,ddf69eef,Alex Miller,alex.miller@umbrella.co,enterprise,apac,1500,2024-02-04,2024-11-27,active,,,,2026-05-05T00:43:38.486738+00:00
722872a1,8ae39368,Riley Garcia,riley.garcia@acme.com,starter,apac,50,2024-06-27,2025-02-19,downgraded,,104,,2026-05-05T00:43:38.486049+00:00
15939403,122785ae,Quinn Brown,quinn.brown@umbrella.co,growth,apac,395,2024-05-02,2025-03-18,active,,,,2026-05-05T00:43:38.486129+00:00
f5548538,de994c6a,Quinn Garcia,quinn.garcia@globex.io,starter,us-east,108,2024-02-13,2024-08-17,churned,2024-09-29,,,2026-05-05T00:43:38.486617+00:00
e66d598d,ebe84d8f,Riley Garcia,riley.garcia@cyberdyne.tech,starter,apac,103,2024-10-02,2025-07-04,churned,2025-07-28,,,2026-05-05T00:43:38.486121+00:00
ecc03c49,9f89f470,Morgan Davis,morgan.davis@acme.com,enterprise,eu,1501,2024-07-16,2025-07-12,active,,,,2026-05-05T00:43:38.486136+00:00
df3031bd,c5f835a0,Alex Davis,alex.davis@initech.net,starter,us-east,108,2024-03-11,2024-08-14,churned,2024-08-20,,,2026-05-05T00:43:38.486673+00:00
5773b52d,952e8837,Dana Garcia,dana.garcia@acme.com,starter,us-east,99,2024-03-28,2025-03-07,active,,,,2026-05-05T00:43:38.486518+00:00
