subscription_id,customer_id,customer_name,customer_email,plan,region,mrr,subscription_start,subscription_end,status,churned_at,downgraded_from_mrr,expanded_to_mrr,recorded_at
ecc03c49,9f89f470,Morgan Davis,morgan.davis@acme.com,enterprise,eu,1501,2024-07-16,2025-07-12,active,,,,2026-05-05T00:43:38.486136+00:00
76c29261,16c54145,Dana Smith,dana.smith@globex.io,starter,us-west,103,2024-02-21,2024-12-14,active,,,,2026-05-05T00:43:38.486144+00:00
10a93144,5d7d1aea,Quinn Johnson,quinn.johnson@initech.net,starter,eu,50,2024-05-15,2024-12-02,downgraded,,104,,2026-05-05T00:43:38.486153+00:00
84353bf4,6d59e6e9,Jordan Brown,jordan.brown@initech.net,enterprise,us-east,1504,2024-10-04,2024-11-19,expanded,,,2004,2026-05-05T00:43:38.486161+00:00
458d2699,bf4755f4,Morgan Jones,morgan.jones@acme.com,growth,us-east,392,2024-02-21,2024-11-02,active,,,,2026-05-05T00:43:38.486169+00:00
b8271d3a,7cba2059,Morgan Brown,morgan.brown@cyberdyne.tech,growth,us-west,400,2024-07-10,2025-03-15,active,,,,2026-05-05T00:43:38.486176+00:00
14661ca1,2d4ac272,Quinn Brown,quinn.brown@umbrella.co,starter,us-west,50,2024-02-10,2025-01-15,downgraded,,94,,2026-05-05T00:43:38.486186+00:00
4f2b3269,d5c98dbb,Casey Smith,casey.smith@umbrella.co,growth,us-east,209,2024-05-10,2025-01-28,downgraded,,409,,2026-05-05T00:43:38.486195+00:00
3cb79b80,ee9361b4,Quinn Jones,quinn.jones@umbrella.co,growth,apac,200,2024-10-27,2025-04-26,downgraded,,400,,2026-05-05T00:43:38.486204+00:00
1e1c689b,727b8988,Riley Jones,riley.jones@initech.net,growth,apac,392,2024-05-01,2024-12-10,active,,,,2026-05-05T00:43:38.486212+00:00
0ad6b987,771490e4,Dana Jones,dana.jones@globex.io,growth,us-west,,2024-10-16,2024-12-08,churned,2024-12-30,,,2026-05-05T00:43:38.486221+00:00
5c349f2f,5f83b9fc,Morgan Johnson,morgan.johnson@acme.com,enterprise,apac,1495,2024-05-08,2025-05-08,active,,,,2026-05-05T00:43:38.486229+00:00
dbfaf1bb,982f24c3,Jordan Jones,jordan.jones@initech.net,starter,us-west,107,2024-07-05,2024-10-08,churned,2024-10-19,,,2026-05-05T00:43:38.486237+00:00
adcc16de,e848cfc7,Casey Williams,casey.williams@initech.net,starter,eu,50,2024-07-06,2025-05-01,downgraded,,106,,2026-05-05T00:43:38.486246+00:00
950a48da,31bc7611,Jordan Williams,jordan.williams@globex.io,enterprise,eu,399,2024-02-28,2024-11-21,downgraded,,1499,,2026-05-05T00:43:38.486254+00:00
a6f43d25,25ad549d,Jordan Davis,jordan.davis@initech.net,starter,eu,101,2024-01-08,2024-06-19,churned,2024-08-01,,,2026-05-05T00:43:38.486263+00:00
a18be12e,d85f257f,Taylor Davis,taylor.davis@acme.com,enterprise,eu,1501,2024-07-09,2024-09-30,churned,2024-11-04,,,2026-05-05T00:43:38.486271+00:00
51b1840a,cc8a0558,Dana Jones,dana.jones@umbrella.co,enterprise,us-east,1496,2024-02-02,2025-01-20,,,,,2026-05-05T00:43:38.486280+00:00
5a63af4f,2511181c,Jordan Brown,jordan.brown@cyberdyne.tech,starter,apac,98,2024-09-09,2024-12-05,active,,,,2026-05-05T00:43:38.486288+00:00
9083c5b2,ab565d37,Morgan Miller,morgan.miller@acme.com,growth,eu,50,2024-08-02,2025-06-26,downgraded,,406,,2026-05-05T00:43:38.486297+00:00
ccbf671b,ef1a46ff,Dana Brown,dana.brown@initech.net,starter,eu,100,2024-04-21,2025-01-01,active,,,,2026-05-05T00:43:38.486304+00:00
119da8ee,4bf7064c,Quinn Jones,quinn.jones@globex.io,enterprise,us-east,1509,2024-07-02,2024-08-30,,,,1809,2026-05-05T00:43:38.486313+00:00
f620c3b0,262ecb1f,Riley Brown,riley.brown@globex.io,enterprise,us-east,1495,2024-01-11,2024-03-04,churned,2024-03-17,,,2026-05-05T00:43:38.486321+00:00
f275889f,4a6cf580,Taylor Garcia,taylor.garcia@globex.io,enterprise,us-east,1495,2024-10-27,2025-03-14,,2025-04-21,,,2026-05-05T00:43:38.486330+00:00
0a85de8e,dc1c45f6,Casey Williams,casey.williams@acme.com,growth,us-west,393,2024-03-07,2025-01-05,churned,2025-01-06,,,2026-05-05T00:43:38.486338+00:00
4a2c5839,c4e2fda1,Riley Smith,riley.smith@globex.io,starter,us-west,,2024-05-01,2025-03-26,active,,,,2026-05-05T00:43:38.486346+00:00
0e76e64e,68afc78a,Jordan Davis,jordan.davis@umbrella.co,enterprise,us-east,1502,2024-09-26,,churned,2025-01-22,,,2026-05-05T00:43:38.486354+00:00
3797972d,074af9ee,Alex Jones,alex.jones@umbrella.co,growth,us-east,405,2024-04-23,2025-03-31,churned,2025-04-01,,,2026-05-05T00:43:38.486362+00:00
2d421d13,5b293582,Dana Davis,dana.davis@acme.com,growth,us-west,50,2024-08-06,2024-10-28,downgraded,,401,,2026-05-05T00:43:38.486370+00:00
13c002e7,8c175567,Riley Miller,riley.miller@cyberdyne.tech,starter,apac,93,2024-05-20,2025-05-02,active,,,,2026-05-05T00:43:38.486379+00:00
